6,200,2,,,,,,,,,,,
,,,,,,,,,,,,,
Sample,Population,Olur10,Olur10,Olur11,Olur11,Olur12,Olur12,Olur13,Olur13,Olur15,Olur15,Olur19,Olur19
92-W,NFW-2017,238,240,164,164,256,262,237,257,157,177,209,229
93-W,NFW-2017,214,238,140,144,254,254,237,269,157,189,209,241
94-W,NFW-2017,282,292,144,144,0,0,237,293,151,157,209,265
95-W,NFW-2017,214,280,152,162,254,256,289,293,209,213,261,265
96-W,NFW-2017,232,286,158,162,254,266,253,277,175,197,225,249
97-W,NFW-2017,220,234,0,0,252,268,249,257,169,177,221,229
98-W,NFW-2017,240,292,0,0,254,266,277,281,197,201,249,253
99-W,NFW-2017,234,256,0,0,250,272,269,277,189,197,241,249
100-W,NFW-2017,244,256,0,0,260,266,273,277,193,197,245,249
1-H,NFH-2016,214,300,144,162,178,268,277,281,197,201,249,253
2-H,NFH-2016,232,294,140,162,266,266,273,277,193,197,245,249
3-H,NFH-2016,214,294,152,156,178,274,261,277,181,197,233,249
4-H,NFH-2016,270,274,140,162,178,248,249,253,169,175,221,225
5-H,NFH-2016,234,316,144,139,260,268,289,293,209,213,261,265
6-H,NFH-2016,250,274,144,139,254,262,245,293,165,213,217,265
7-H,NFH-2016,220,238,156,162,254,266,261,293,181,213,233,265
8-H,NFH-2016,214,234,164,164,178,254,285,289,205,209,257,261
9-H,NFH-2016,214,228,140,164,178,254,273,293,193,213,245,265
10-H,NFH-2016,270,282,140,140,178,240,0,0,0,0,0,0
11-H,NFH-2016,214,232,140,162,256,260,0,0,185,229,237,281
12-H,NFH-2016,292,298,140,162,256,266,261,277,181,197,233,249
13-H,NFH-2016,250,276,152,162,262,266,277,293,197,213,249,265
14-H,NFH-2016,294,298,140,144,256,260,237,261,157,181,209,233
15-H,NFH-2016,238,244,140,144,178,260,257,289,177,209,229,261
16-H,NFH-2016,238,292,140,135,256,268,257,297,177,217,229,269
17-H,NFH-2016,244,274,144,162,250,266,257,293,177,213,229,265
18-H,NFH-2016,238,294,144,162,266,272,237,245,157,165,209,217
19-H,NFH-2016,240,276,140,174,178,256,249,261,169,181,221,233
20-H,NFH-2016,294,294,144,152,262,266,245,249,165,169,217,221
21-H,NFH-2016,238,244,162,162,178,260,277,293,197,213,249,265
22-H,NFH-2016,294,304,158,162,178,266,265,285,185,205,237,257
23-H,NFH-2016,238,274,140,140,254,262,237,265,157,185,209,237
24-H,NFH-2016,214,246,144,162,250,254,0,0,201,221,253,273
25-H,NFH-2016,214,274,140,144,260,268,285,285,205,205,257,257
26-H,NFH-2016,244,310,144,162,254,266,257,277,177,197,229,249
27-H,NFH-2016,282,298,162,164,266,272,285,289,205,209,257,261
28-H,NFH-2016,226,240,144,164,260,268,261,277,181,197,233,249
29-H,NFH-2016,228,282,156,162,254,260,261,281,181,201,233,253
30-H,NFH-2016,274,300,140,164,178,250,245,277,165,197,217,249
31-H,NFH-2016,292,298,168,171,178,266,257,277,177,197,229,249
32-H,NFH-2016,232,238,140,144,178,266,265,301,185,221,0,0
33-H,NFH-2016,214,214,144,162,254,260,237,289,157,209,209,261
34-H,NFH-2016,214,282,144,176,262,266,241,249,161,169,0,0
35-H,NFH-2016,292,292,140,162,178,266,273,285,193,205,245,257
36-H,NFH-2016,214,246,140,144,262,272,277,281,197,201,249,253
37-H,NFH-2016,240,270,140,162,178,266,249,253,169,175,221,225
38-H,NFH-2016,234,270,140,144,254,266,265,281,185,201,237,253
39-H,NFH-2016,214,274,144,144,254,268,249,261,169,181,221,233
40-H,NFH-2016,268,276,140,162,254,266,257,293,177,213,229,265
41-H,NFH-2016,216,222,140,156,178,254,241,301,161,221,213,273
