6,100,1,,,,,,,,,,,
,,,,,,,,,,,,,
Sample,Population,Olur10,Olur10,Olur11,Olur11,Olur12,Olur12,Olur13,Olur13,Olur15,Olur15,Olur19,Olur19
55,NFW-2017,226,252,144,156,182,266,273,289,193,209,245,261
56,NFW-2017,276,298,162,162,254,266,249,277,169,197,221,249
57,NFW-2017,246,276,144,162,254,254,241,269,161,189,213,241
58,NFW-2017,280,292,150,162,178,284,261,273,181,193,233,245
59,NFW-2017,226,234,144,144,170,254,289,289,209,209,261,261
60,NFW-2017,0,0,140,144,178,178,249,253,169,175,221,225
61,NFW-2017,240,276,140,162,254,268,265,281,185,201,237,253
62,NFW-2017,286,298,144,162,254,266,265,285,185,205,237,257
63,NFW-2017,232,288,162,162,254,260,257,265,177,185,229,237
64,NFW-2017,202,240,140,162,256,266,257,269,177,189,229,241
65,NFW-2017,274,286,144,176,178,182,0,0,197,197,249,249
66,NFW-2017,276,280,140,162,178,266,249,277,169,197,221,249
67,NFW-2017,234,252,162,164,240,254,257,285,177,205,229,257
68,NFW-2017,214,300,144,162,268,272,285,301,205,221,257,273
69,NFW-2017,214,304,140,144,178,254,281,281,201,201,253,253
70,NFW-2017,214,300,140,162,178,266,257,273,177,193,229,245
71,NFW-2017,232,304,144,162,254,262,249,265,169,185,221,237
72,NFW-2017,228,286,162,162,262,268,257,285,177,205,229,257
73,NFW-2017,214,286,140,144,178,254,241,277,161,197,213,249
74,NFW-2017,214,294,144,164,250,266,249,281,169,201,221,253
75,NFW-2017,238,270,144,162,266,268,281,289,201,209,253,261
76,NFW-2017,214,282,162,162,182,266,289,301,209,221,261,273
77,NFW-2017,226,232,140,144,254,268,237,289,157,209,0,0
78,NFW-2017,232,276,162,171,178,254,249,249,169,169,221,221
79,NFW-2017,238,274,144,144,256,272,237,261,157,181,209,233
80,NFW-2017,270,276,140,152,178,268,277,277,0,0,0,0
81,NFW-2017,228,238,140,144,188,260,281,285,201,205,253,257
82,NFW-2017,238,244,144,162,254,256,241,293,161,213,213,265
83,NFW-2017,214,228,140,162,256,268,293,305,213,225,265,277
84,NFW-2017,252,298,156,162,182,266,253,257,175,177,225,229
85,NFW-2017,232,244,144,144,254,266,265,293,185,213,237,265
86,NFW-2017,226,250,144,144,266,268,261,261,175,181,233,233
87,NFW-2017,276,288,144,144,254,268,289,301,209,221,261,273
88,NFW-2017,202,240,140,162,256,262,241,257,161,177,213,229
89,NFW-2017,250,318,140,152,254,272,265,297,185,217,237,269
90,NFW-2017,232,288,140,144,266,266,257,273,177,193,229,245
91,NFW-2017,294,294,162,162,250,262,261,273,181,193,233,245
92,NFW-2017,238,240,164,164,256,262,237,257,157,177,209,229
93,NFW-2017,214,238,140,144,254,254,237,269,157,189,209,241
94,NFW-2017,282,292,144,144,0,0,237,293,151,157,209,265
95,NFW-2017,214,280,152,162,254,256,289,293,209,213,261,265
96,NFW-2017,232,286,158,162,254,266,253,277,175,197,225,249
97,NFW-2017,220,234,0,0,252,268,249,257,169,177,221,229
98,NFW-2017,240,292,0,0,254,266,277,281,197,201,249,253
99,NFW-2017,234,256,0,0,250,272,269,277,189,197,241,249
100,NFW-2017,244,256,0,0,260,266,273,277,193,197,245,249
