Oly Data																
npops = 4																
nloci = 8																
	Olur10		Olur11		Olur12		Olur13		Olur15		Olur17		Olur18		Olur19	
pop = PG_W																
PG-W_1	283	292	153	162	179	266	275	299	193	217	196	236	160	236	244	268
PG-W_2	286	292	144	156	254	266	239	275	157	193	196	268	224	240	208	244
PG-W_3	289	292	141	144	245	260	275	295	193	213	196	240	228	256	244	264
PG-W_4	250	295	144	162	179	266	239	267	157	185	216	256	160	160	208	236
PG-W_5	238	295	141	162	179	260	283	307	201	225	224	236	228	248	252	276
PG-W_6	214	244	168	183	254	263	259	283	177	201	236	252	156	228	228	252
PG-W_7	214	250	153	162	179	182	259	291	177	209	236	260	244	244	228	260
PG-W_8	289	307	144	162	179	251	255	287	173	205	196	216	240	252	224	256
PG-W_9	232	250	141	144	257	266	255	303	173	221	224	264	252	268	224	272
PG-W_10	214	295	141	162	266	266	239	303	157	221	196	264	232	264	208	272
PG-W_11	274	295	138	162	179	257	243	291	161	209	232	256	228	248	212	260
PG-W_12	268	295	162	162	179	260	239	239	157	157	248	248	232	240	208	208
PG-W_13	0	0	141	144	182	260	251	267	169	185	224	244	236	256	220	236
PG-W_14	247	274	162	162	254	269	239	291	157	209	232	248	160	264	208	260
PG-W_15	277	286	141	162	179	269	251	283	169	201	244	272	220	244	220	252
PG-W_16	250	286	162	162	260	266	275	287	193	205	220	256	244	260	244	256
PG-W_17	286	295	144	162	254	266	263	291	181	209	196	252	160	248	232	260
PG-W_18	292	295	141	162	179	266	279	287	197	205	236	248	160	160	248	256
PG-W_19	253	295	162	162	179	266	239	291	157	209	196	236	256	260	208	260
PG-W_20	232	280	141	159	179	266	291	295	209	213	208	256	248	300	260	264
PG-W_21	274	289	141	171	182	254	255	291	173	209	240	244	160	240	224	260
PG-W_22	235	271	141	162	179	266	263	283	181	201	248	256	160	160	232	252
PG-W_23	238	250	162	162	179	263	263	283	181	201	220	224	244	268	232	252
PG-W_24	250	256	141	144	254	266	251	263	169	181	244	248	240	260	220	232
PG-W_25	244	274	141	162	266	266	255	299	173	217	252	252	160	248	224	268
PG-W_26	274	307	144	162	179	263	291	295	209	213	240	248	248	248	260	264
PG-W_27	295	301	141	162	182	254	247	283	165	201	224	244	256	276	216	252
PG-W_28	241	292	141	162	0	0	247	279	165	197	196	248	164	256	216	248
PG-W_29	277	292	141	162	0	0	239	259	157	177	196	196	244	264	208	228
PG-W_30	250	292	144	144	179	266	259	299	177	217	232	244	160	164	228	268
PG-W_31	238	274	159	162	263	269	267	295	185	213	196	224	240	280	236	264
PG-W_32	289	292	141	144	254	263	239	259	157	177	216	240	208	276	208	228
PG-W_33	250	274	162	165	254	254	271	287	189	205	236	252	164	232	240	256
PG-W_34	241	250	0	0	266	269	287	291	205	209	196	196	252	264	256	260
PG-W_35	238	250	162	162	266	266	267	291	185	209	236	240	236	248	236	260
PG-W_36	277	292	141	153	179	266	239	299	157	217	196	276	160	288	208	268
PG-W_37	250	301	141	144	179	182	247	287	165	205	240	252	252	252	216	256
PG-W_38	232	313	141	144	263	269	239	271	157	189	196	216	240	244	208	240
PG-W_39	250	280	141	141	260	269	247	295	165	213	248	256	244	248	216	264
PG-W_40	289	295	162	180	179	281	267	291	185	209	196	252	260	292	236	260
PG-W_41	214	283	141	144	266	266	259	291	177	209	232	240	248	316	228	260
PG-W_42	274	280	144	165	263	266	287	307	205	225	196	232	240	260	256	276
PG-W_43	214	280	156	162	179	251	239	247	157	165	216	248	164	244	208	216
PG-W_44	268	295	156	162	254	260	239	287	157	205	196	252	160	232	208	256
PG-W_45	220	274	156	162	179	179	275	291	193	209	196	228	232	248	244	260
PG-W_46	256	289	162	162	182	254	239	271	157	189	216	248	268	276	208	240
PG-W_47	250	289	162	162	248	266	291	299	209	217	244	268	236	240	260	268
PG-W_48	214	241	153	156	182	260	271	299	189	217	232	256	160	244	240	268
PG-W_49	238	268	144	156	263	266	259	279	177	197	244	248	252	260	228	248
PG-W_50	247	280	141	144	179	266	239	303	157	221	224	232	160	244	208	272
PG-W_51	253	319	162	162	248	254	247	283	165	201	224	244	252	252	216	252
PG-W_52	286	295	144	153	254	266	247	295	165	213	196	240	228	240	216	264
PG-W_53	241	292	141	144	179	266	275	299	193	217	236	244	160	240	244	268
PG-W_54	265	274	144	162	182	254	267	267	185	185	240	252	244	256	236	236
PG-W_55	256	295	162	162	179	260	283	291	201	209	256	260	252	256	252	260
PG-W_56	250	292	141	162	254	266	251	255	169	173	240	240	160	244	220	224
PG-W_57	283	292	138	162	263	266	263	291	181	209	196	236	256	272	232	260
PG-W_58	256	280	162	162	179	260	259	263	177	181	260	264	220	240	228	232
PG-W_59	229	250	144	162	266	266	263	283	181	201	228	244	240	248	232	252
PG-W_60	244	283	162	171	242	254	291	291	209	209	196	204	268	272	260	260
PG-W_61	274	289	141	162	179	266	243	295	161	213	248	248	260	296	212	264
PG-W_62	241	286	141	156	179	266	247	267	165	185	200	228	160	232	216	236
PG-W_63	292	295	141	141	263	266	271	279	189	197	256	260	216	268	240	248
PG-W_64	232	250	138	144	179	254	247	295	165	213	220	248	160	160	216	264
