Oly Data																
npops = 4																
nloci = 8																
	Olur10		Olur11		Olur12		Olur13		Olur15		Olur17		Olur18		Olur19	
PG-W_65	274	295	141	165	263	266	263	299	181	217	240	252	232	232	232	268
PG-W_66	286	295	162	162	179	266	271	287	189	205	228	260	236	252	240	256
PG-W_67	214	295	162	165	254	266	287	303	205	221	252	284	160	244	256	272
PG-W_68	250	295	141	144	179	269	259	299	177	217	196	240	240	244	228	268
PG-W_69	250	295	141	144	251	269	291	295	209	213	196	224	236	236	260	264
PG-W_70	250	277	141	144	179	263	259	287	177	205	244	260	236	256	228	256
PG-W_71	277	292	162	165	254	263	255	283	173	201	240	244	240	276	224	252
PG-W_72	250	286	144	144	179	266	283	283	201	201	224	244	160	264	252	252
PG-W_73	286	292	156	162	266	266	291	295	209	213	244	288	160	228	260	264
PG-W_74	244	274	144	159	257	269	263	291	181	209	236	248	220	256	232	260
PG-W_75	250	295	141	162	254	254	267	283	185	201	256	272	160	248	236	252
PG-W_76	238	250	141	144	257	266	259	275	177	193	224	260	244	252	228	244
PG-W_77	250	292	144	162	179	248	239	243	157	161	180	268	160	276	208	212
PG-W_78	214	214	162	162	179	257	239	299	157	217	240	248	232	252	208	268
PG-W_79	274	277	138	162	179	254	283	287	201	205	252	252	180	252	252	256
PG-W_80	274	280	162	162	254	266	287	287	205	205	196	252	236	300	256	256
PG-W_81	250	277	162	162	179	245	263	283	181	201	216	244	244	272	232	252
PG-W_82	277	295	156	162	254	257	267	287	185	205	248	252	248	252	236	256
PG-W_83	250	286	141	162	179	182	283	291	201	209	248	264	160	280	252	260
PG-W_84	250	280	141	141	263	266	283	291	201	209	244	256	244	260	252	260
PG-W_85	226	238	144	171	254	266	259	283	177	201	252	264	276	276	228	252
PG-W_86	256	295	162	162	179	266	243	271	161	189	196	264	248	248	212	240
PG-W_87	214	295	138	162	266	269	243	251	161	169	196	224	160	244	212	220
PG-W_88	217	280	162	162	179	254	267	291	185	209	212	236	256	288	236	260
PG-W_89	274	286	144	162	254	266	247	279	165	197	200	272	240	248	216	248
PG-W_90	274	298	144	162	269	269	255	283	173	201	228	288	240	264	224	252
PG-W_91	214	265	153	162	179	272	263	299	181	217	196	228	228	240	232	268
PG-W_92	214	265	162	162	179	245	263	267	181	185	232	240	256	264	232	236
PG-W_93	289	292	162	162	179	179	291	307	209	225	248	256	228	252	260	276
PG-W_94	283	286	141	162	248	254	239	283	157	201	192	264	240	244	208	252
PG-W_95	253	295	144	144	179	266	247	263	165	181	236	244	228	244	216	232
PG-W_96	289	298	144	144	260	266	239	271	157	189	244	252	232	272	208	240
PG-W_97	238	280	144	162	179	254	267	303	185	221	220	244	216	252	236	272
PG-W_98	238	313	144	156	179	179	243	283	161	201	196	248	256	256	212	252
PG-W_99	214	277	144	174	254	260	259	291	177	209	224	224	244	256	228	260
PG-W_100	232	250	162	165	179	254	275	287	193	205	260	268	232	244	244	256
pop =SS_W																
SS-W_1	238	253	144	144	182	266	243	247	161	165	216	232	0	0	212	216
SS-W_2	232	241	150	162	266	278	271	275	189	193	228	240	220	244	240	244
SS-W_3	241	250	162	162	179	266	287	299	205	217	224	240	236	252	256	268
SS-W_4	289	295	144	162	179	266	291	299	209	217	196	248	244	248	260	268
SS-W_5	232	238	144	144	179	260	263	295	181	213	256	260	240	248	232	264
SS-W_6	292	295	138	153	179	260	243	283	161	201	212	228	244	248	212	252
SS-W_7	235	301	144	162	260	263	251	291	169	209	228	236	236	244	220	260
SS-W_8	238	238	162	162	266	266	243	291	161	209	212	240	228	252	212	260
SS-W_9	232	238	144	162	179	179	239	247	157	165	224	252	240	248	208	216
SS-W_10	250	283	141	144	263	266	263	267	181	185	240	264	232	232	232	236
SS-W_11	241	247	138	144	179	269	295	299	213	217	236	264	216	228	264	268
SS-W_12	226	241	144	153	179	266	267	279	185	197	212	240	248	276	236	248
SS-W_13	241	283	141	162	179	254	263	267	181	185	196	240	244	300	232	236
SS-W_14	238	295	144	162	257	266	295	299	213	217	192	248	160	248	264	268
SS-W_15	214	301	141	141	251	257	259	263	177	181	224	244	212	272	228	232
SS-W_16	214	241	141	141	179	266	279	287	197	205	196	264	228	252	248	256
SS-W_17	238	298	141	162	269	269	283	283	201	201	236	240	232	244	252	252
SS-W_18	238	241	162	162	263	269	283	291	201	209	196	216	236	252	252	260
SS-W_19	241	274	141	162	182	254	275	283	193	201	196	228	220	240	244	252
SS-W_20	211	241	141	153	254	272	287	299	205	217	224	244	260	324	256	268
SS-W_21	253	265	144	162	254	254	243	307	161	225	244	248	224	240	212	276
SS-W_22	286	295	141	144	257	266	259	291	177	209	212	244	236	248	228	260
SS-W_23	250	292	162	162	251	254	267	283	185	201	196	236	244	248	236	252
SS-W_24	241	268	144	150	254	260	263	279	181	197	196	240	244	352	232	248
SS-W_25	232	292	144	174	266	266	247	279	165	197	180	196	228	240	216	248
SS-W_26	232	235	144	162	179	266	239	283	157	201	244	260	232	264	208	252
SS-W_27	232	295	141	141	254	260	259	259	177	177	248	256	264	288	228	228
SS-W_28	214	238	144	162	266	269	287	295	205	213	244	264	244	284	256	264
SS-W_29	0	0	141	162	239	266	271	307	189	225	196	252	244	268	240	276
SS-W_30	232	289	144	153	254	260	243	279	161	197	204	236	248	256	212	248
SS-W_31	238	295	141	162	257	260	283	291	201	209	208	264	240	320	252	260
SS-W_32	214	298	162	162	179	239	247	283	165	201	232	256	244	248	216	252
SS-W_33	217	280	141	141	254	266	247	255	165	173	216	224	236	248	216	224
SS-W_34	235	253	153	162	266	266	247	291	165	209	200	228	232	248	216	260
SS-W_35	277	280	141	162	254	278	239	279	157	197	240	256	216	268	208	248
SS-W_36	241	283	144	162	254	266	279	287	197	205	240	244	284	288	248	256
SS-W_37	247	274	162	162	179	266	247	295	165	213	240	244	240	244	216	264
SS-W_38	241	250	141	141	254	266	267	283	185	201	236	252	244	244	236	252
SS-W_39	280	295	162	162	260	260	271	287	189	205	248	248	240	252	240	256
SS-W_40	238	250	162	165	179	260	267	271	185	189	256	260	268	280	236	240
SS-W_41	274	295	141	162	179	266	287	291	205	209	232	240	252	280	256	260
SS-W_42	217	295	162	162	266	266	239	307	157	225	232	244	244	248	208	276
SS-W_43	241	265	141	144	179	266	239	239	157	157	240	260	236	248	208	208
SS-W_44	214	241	141	144	179	260	267	283	185	201	236	256	160	228	236	252
SS-W_45	214	232	141	162	179	254	267	283	185	201	236	256	232	236	236	252
SS-W_46	286	301	144	144	260	266	239	239	157	157	240	244	228	248	208	208
SS-W_47	250	283	144	162	182	266	239	255	157	173	196	232	244	244	208	224
SS-W_48	244	292	141	153	260	266	275	291	193	209	0	0	248	248	244	260
SS-W_49	241	295	144	153	179	266	239	247	157	165	236	256	256	276	208	216
SS-W_50	238	295	141	162	254	254	279	279	197	197	228	244	244	252	248	248
SS-W_51	232	250	144	162	179	254	287	303	205	221	240	248	248	264	256	272
SS-W_52	280	301	141	162	257	260	275	275	193	193	224	256	244	248	244	244
SS-W_53	217	244	144	144	266	266	267	295	185	213	240	244	244	244	236	264
SS-W_54	214	241	144	162	179	254	279	295	197	213	216	268	236	244	248	264
SS-W_55	214	214	144	171	179	254	259	287	177	205	232	256	256	276	228	256
SS-W_56	238	280	159	165	254	260	275	279	193	197	236	260	224	296	244	248
SS-W_57	259	280	144	162	251	260	291	295	209	213	244	260	244	268	260	264
SS-W_58	214	235	141	144	254	260	271	299	189	217	248	260	236	252	240	268
SS-W_59	274	292	144	144	179	254	255	279	173	197	232	244	248	268	224	248
SS-W_60	241	310	144	174	257	266	251	287	169	205	196	220	244	256	220	256
SS-W_61	238	295	144	162	251	266	287	299	0	0	220	256	240	276	256	268
SS-W_62	250	280	162	171	254	266	243	263	161	181	244	260	0	0	212	232
SS-W_63	226	301	141	162	263	266	247	291	165	209	240	264	256	316	216	260
SS-W_64	214	274	144	162	179	179	239	263	157	181	236	248	268	276	208	232
SS-W_65	238	289	141	141	254	254	255	295	173	213	236	272	260	260	224	264
SS-W_66	247	295	141	141	254	260	247	263	165	181	244	256	244	256	216	232
SS-W_67	238	238	144	159	179	254	247	271	165	189	220	244	260	284	216	240
SS-W_68	214	241	144	162	257	269	255	267	173	185	216	240	252	288	224	236
SS-W_69	214	295	144	144	251	260	271	291	189	209	224	252	224	228	240	260
SS-W_70	226	295	141	144	179	263	243	279	161	197	232	256	244	296	212	248
SS-W_71	241	310	162	162	254	260	259	291	177	209	228	260	240	260	228	260
SS-W_72	238	241	138	165	254	266	263	303	181	221	240	248	228	240	232	272
SS-W_73	214	250	165	168	254	266	239	287	157	205	196	212	244	264	208	256
SS-W_74	214	250	144	144	179	266	243	295	161	213	196	244	240	244	212	264
SS-W_75	274	283	144	144	254	254	243	291	161	209	216	232	244	256	212	260
SS-W_76	238	241	141	153	179	260	283	287	201	205	228	248	240	252	252	256
SS-W_77	214	277	144	153	257	260	243	291	161	209	256	256	232	256	212	260
SS-W_78	214	235	141	159	254	266	267	291	185	209	208	264	252	316	236	260
SS-W_79	238	238	141	153	254	263	247	259	165	177	240	252	248	308	216	228
SS-W_80	280	295	144	162	266	266	267	291	185	209	236	236	252	268	236	260
SS-W_81	244	286	144	156	266	272	239	271	157	189	196	196	240	252	208	240
SS-W_82	208	292	144	162	179	254	263	291	181	209	224	252	244	248	232	260
SS-W_83	244	250	159	162	251	257	271	283	189	201	228	272	224	304	240	252
SS-W_84	238	286	141	141	179	254	247	255	165	173	196	220	240	256	216	224
SS-W_85	247	295	153	162	179	257	271	287	189	205	196	244	236	272	240	256
SS-W_86	238	289	144	162	179	266	247	279	165	197	192	224	236	252	216	248
SS-W_87	217	250	144	162	266	266	247	283	165	201	196	248	240	256	216	252
SS-W_88	232	241	144	162	254	260	271	287	189	205	196	240	224	236	240	256
SS-W_89	280	286	144	168	254	254	247	275	165	193	236	252	244	264	216	244
SS-W_90	241	280	153	162	179	179	267	307	185	225	196	248	244	244	236	276
SS-W_91	238	244	162	162	254	266	243	279	161	197	224	236	240	248	212	248
SS-W_92	238	241	144	162	179	179	279	283	197	201	212	252	252	260	248	252
SS-W_93	223	244	162	162	179	251	287	303	205	221	260	264	236	248	256	272
SS-W_94	238	247	141	141	254	260	251	295	169	213	220	228	244	248	220	264
SS-W_95	232	241	144	162	254	254	267	291	185	209	252	256	228	236	236	260
SS-W_96	223	286	162	162	179	254	239	247	157	165	232	240	224	256	208	216
SS-W_97	232	256	162	162	257	266	247	287	165	205	244	276	252	272	216	256
SS-W_98	238	244	141	162	179	266	239	295	157	213	196	220	260	304	208	264
SS-W_99	241	268	141	162	260	266	275	279	193	197	228	260	236	248	244	248
SS-W_100	247	280	138	141	251	257	267	275	185	193	232	240	160	240	236	244
pop = PG_F1																
PG-F1_1	238	271	141	159	179	266	243	295	161	213	196	200	160	160	252	256
PG-F1_2	283	286	141	141	260	266	259	283	177	201	256	264	160	236	252	0
PG-F1_3	292	292	141	144	254	266	291	299	209	217	196	252	256	264	260	268
PG-F1_4	274	280	162	177	179	266	239	251	157	169	196	232	252	264	208	220
PG-F1_5	214	274	162	177	179	254	251	283	169	201	196	196	252	256	220	252
PG-F1_6	214	289	144	144	266	272	255	279	173	197	228	252	160	268	224	248
PG-F1_7	238	289	141	162	263	266	259	291	177	209	252	252	160	160	228	260
PG-F1_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PG-F1_9	214	298	144	177	251	266	263	263	181	181	240	248	252	268	232	232
PG-F1_10	277	289	159	162	254	260	271	287	189	205	196	248	240	256	240	256
PG-F1_11	250	292	141	162	260	266	283	295	201	213	220	232	252	260	252	264
PG-F1_12	0	0	153	156	182	266	275	295	193	213	196	236	236	304	244	264
PG-F1_13	286	286	144	153	179	263	247	251	165	169	240	256	248	256	216	220
PG-F1_14	214	295	162	171	179	257	295	295	213	213	228	244	232	236	264	264
PG-F1_15	214	274	162	177	251	266	263	263	181	181	196	216	264	268	232	232
PG-F1_16	214	295	141	162	179	254	247	275	165	193	196	212	228	236	216	244
PG-F1_17	241	295	141	144	266	266	247	271	165	189	236	260	0	0	216	240
PG-F1_18	238	253	141	144	266	266	243	283	161	201	256	264	160	244	212	252
PG-F1_19	241	295	141	162	254	266	247	275	165	193	196	252	220	236	216	244
PG-F1_20	250	256	162	177	257	266	271	283	189	201	196	248	232	260	240	252
PG-F1_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PG-F1_22	238	295	144	153	179	182	283	295	201	213	240	268	252	304	252	264
PG-F1_23	283	292	141	144	179	254	275	299	193	217	248	256	160	256	244	268
PG-F1_24	277	289	162	162	248	254	271	279	189	197	196	216	0	0	240	248
PG-F1_25	292	292	141	144	266	266	275	299	193	217	252	256	160	288	244	268
PG-F1_26	250	283	141	141	266	275	0	0	201	209	196	248	0	0	252	260
PG-F1_27	250	286	141	162	239	269	283	287	201	205	244	248	160	304	252	256
PG-F1_28	277	277	162	162	179	254	283	311	201	229	216	252	160	236	252	280
PG-F1_29	286	292	141	162	179	179	283	287	201	205	224	232	256	260	252	256
PG-F1_30	241	286	138	141	179	257	275	299	193	217	252	256	240	256	244	268
PG-F1_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PG-F1_32	274	298	159	162	248	254	279	295	197	213	232	252	160	280	248	264
PG-F1_33	241	250	144	162	254	257	259	295	177	213	220	240	160	272	228	264
PG-F1_34	277	277	144	183	254	254	251	295	169	213	212	268	164	292	220	264
PG-F1_35	241	250	144	162	254	254	271	287	189	205	240	252	248	272	240	256
PG-F1_36	274	295	162	162	254	254	275	283	193	201	196	252	164	236	244	252
PG-F1_37	226	250	141	162	182	260	259	287	177	205	232	248	232	288	228	256
PG-F1_38	238	238	141	162	248	248	255	299	173	217	244	248	244	248	224	268
PG-F1_39	286	307	156	162	179	266	283	299	201	217	224	248	240	252	252	268
PG-F1_40	292	295	162	165	179	254	283	299	201	217	224	268	160	160	252	268
PG-F1_41	292	295	153	162	254	266	275	279	193	197	196	240	160	236	244	248
PG-F1_42	0	0	144	162	263	266	0	0	201	205	240	240	0	0	252	256
PG-F1_43	277	289	144	162	179	179	259	287	177	205	248	248	240	240	228	256
PG-F1_44	286	295	144	162	266	266	283	295	201	213	200	252	232	244	252	264
PG-F1_45	250	286	141	162	179	260	271	295	189	213	196	232	160	244	240	264
PG-F1_46	250	256	138	141	179	263	271	307	189	225	224	248	160	236	240	276
PG-F1_47	226	292	150	162	179	257	255	287	173	205	236	252	0	0	224	256
PG-F1_48	289	292	156	162	179	266	263	291	181	209	236	252	240	244	232	260
PG-F1_49	256	295	162	162	0	0	275	283	193	201	196	240	236	244	244	252
PG-F1_50	286	292	141	162	254	257	283	303	201	221	236	260	236	300	252	272
PG-F1_51	238	268	141	141	179	254	243	287	161	205	248	256	160	256	212	256
PG-F1_52	250	286	144	153	266	269	271	287	189	205	196	240	224	252	240	256
PG-F1_53	223	298	144	162	254	263	251	283	169	201	196	252	160	248	220	252
PG-F1_54	256	274	141	162	266	266	279	291	197	209	196	232	160	268	248	260
PG-F1_55	271	277	144	162	179	251	271	287	189	205	236	256	0	0	240	256
PG-F1_56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PG-F1_57	250	256	144	162	254	266	0	0	157	197	240	248	160	236	208	248
PG-F1_58	256	274	141	171	254	266	271	287	189	205	216	248	236	252	240	256
PG-F1_59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PG-F1_60	256	280	144	162	254	254	283	287	201	205	196	228	236	260	252	256
PG-F1_61	241	295	159	162	254	254	279	283	197	201	196	220	244	304	248	252
PG-F1_62	241	283	141	144	254	263	287	295	205	213	196	252	160	268	256	264
PG-F1_63	277	286	156	171	266	269	283	295	201	213	240	260	252	272	252	264
PG-F1_64	274	283	144	162	179	263	271	299	189	217	224	228	224	260	240	268
PG-F1_65	250	283	141	141	251	263	251	259	169	177	196	236	160	244	220	228
PG-F1_66	214	280	138	162	254	266	251	283	169	201	204	252	244	248	220	252
PG-F1_67	256	292	141	144	179	266	295	299	213	217	244	256	160	284	264	268
PG-F1_68	214	244	141	162	266	266	271	315	189	233	248	260	260	264	240	284
PG-F1_69	250	292	141	162	263	269	259	283	177	201	240	244	256	256	228	252
PG-F1_70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PG-F1_71	283	286	141	141	263	266	239	251	157	169	196	244	212	260	208	220
PG-F1_72	274	286	141	162	251	254	271	287	189	205	248	248	160	236	240	256
PG-F1_73	217	277	162	165	266	266	271	283	189	201	240	252	248	248	240	252
PG-F1_74	250	274	150	165	254	254	247	283	165	201	196	220	248	252	216	252
PG-F1_75	292	292	144	153	266	266	263	287	181	205	216	248	236	256	232	256
PG-F1_76	214	226	141	150	254	257	275	291	193	209	200	252	160	240	244	260
PG-F1_77	274	295	141	162	248	263	259	295	177	213	244	252	232	280	228	264
PG-F1_78	292	298	141	174	179	179	295	295	213	213	208	228	160	248	264	264
PG-F1_79	274	286	141	156	257	263	247	287	165	205	216	236	0	0	216	256
PG-F1_80	229	292	162	165	269	275	287	303	205	221	244	248	224	260	256	272
PG-F1_81	256	292	141	165	179	266	291	299	209	217	232	256	160	160	260	268
PG-F1_82	238	250	144	162	266	266	243	291	161	209	196	256	160	256	212	260
PG-F1_83	241	292	162	168	179	260	263	287	181	205	228	232	0	0	232	256
PG-F1_84	214	289	144	150	254	257	251	307	169	225	204	252	256	260	220	276
PG-F1_85	250	277	141	162	179	266	267	291	185	209	236	260	0	0	236	260
PG-F1_86	250	250	144	162	182	254	247	295	165	213	240	268	0	0	216	264
PG-F1_87	226	274	162	177	254	272	251	287	169	205	252	272	160	252	220	256
PG-F1_88	256	295	144	162	254	266	279	279	197	197	200	248	232	236	248	248
PG-F1_89	289	301	141	144	266	266	283	303	201	221	252	252	160	160	252	272
PG-F1_90	250	289	144	171	179	260	259	263	177	181	236	248	256	264	228	232
PG-F1_91	238	250	141	144	179	179	243	259	161	177	232	256	160	296	212	228
PG-F1_92	0	0	141	141	179	254	287	299	205	217	240	256	160	256	256	268
PG-F1_93	292	292	147	162	182	251	243	291	161	209	196	224	252	252	212	260
PG-F1_94	0	0	162	162	266	266	275	291	193	209	196	240	160	244	244	260
PG-F1_95	0	0	159	162	263	266	287	299	205	217	236	260	224	252	256	268
PG-F1_96	244	250	141	162	266	269	259	287	177	205	228	240	224	268	228	256
PG-F1_97	238	250	141	141	179	263	247	287	165	205	196	244	224	252	216	256
PG-F1_98	253	286	141	162	179	266	283	283	201	201	240	260	160	244	252	252
PG-F1_99	283	286	141	141	260	266	283	287	201	205	240	276	0	0	252	256
PG-F1_100	238	295	153	162	179	179	251	295	169	213	236	256	252	256	220	264
pop = SS_F1																
SS-F1_1	229	229	141	171	179	254	267	295	185	213	248	252	244	252	0	0
SS-F1_2	214	247	141	144	254	260	279	287	197	205	204	248	304	308	248	256
SS-F1_3	244	307	141	162	179	260	291	299	209	217	196	252	256	256	260	268
SS-F1_4	214	250	141	165	254	263	243	247	161	165	0	0	236	280	212	216
SS-F1_5	241	247	147	171	179	179	275	279	193	197	248	252	236	260	244	248
SS-F1_6	241	295	153	162	254	263	283	295	201	213	248	264	252	252	252	264
SS-F1_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SS-F1_8	289	292	141	147	179	254	247	287	165	205	240	264	248	276	216	256
SS-F1_9	241	244	144	162	254	260	283	283	201	201	224	252	244	248	252	252
SS-F1_10	235	238	141	162	179	254	279	291	197	209	224	240	228	244	248	260
SS-F1_11	235	238	144	144	239	254	239	283	157	201	252	260	232	248	208	252
SS-F1_12	283	286	162	165	257	266	271	291	189	209	236	264	244	256	240	260
SS-F1_13	238	283	141	153	263	266	255	259	173	177	224	232	0	0	224	228
SS-F1_14	217	229	141	141	179	269	263	283	181	201	236	252	256	308	232	252
SS-F1_15	238	274	141	141	266	266	267	279	185	197	196	276	244	248	236	248
SS-F1_16	214	241	144	162	254	269	291	299	209	217	176	264	228	240	260	268
SS-F1_17	235	274	156	156	260	263	279	295	197	213	248	256	244	244	248	264
SS-F1_18	277	292	162	162	254	266	259	311	177	229	220	264	236	268	228	280
SS-F1_19	241	247	144	144	179	179	243	283	161	201	236	252	232	236	212	252
SS-F1_20	250	280	150	162	254	254	243	279	161	197	260	268	232	236	212	248
SS-F1_21	238	241	141	144	251	260	247	271	165	189	0	0	236	248	216	240
SS-F1_22	232	286	162	162	179	260	287	291	205	209	240	244	236	248	256	260
SS-F1_23	211	238	141	141	254	260	271	283	189	201	0	0	236	236	240	252
SS-F1_24	241	292	159	162	251	254	267	279	185	197	220	224	236	320	236	248
SS-F1_25	214	238	141	162	254	263	243	279	161	197	244	252	236	256	212	248
SS-F1_26	238	289	144	144	179	179	283	287	201	205	244	252	236	300	252	256
SS-F1_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SS-F1_28	244	292	153	162	260	266	279	311	197	229	220	244	244	276	248	280
SS-F1_29	241	244	141	171	254	266	263	315	181	233	240	252	248	272	232	284
SS-F1_30	223	280	156	162	260	266	247	263	165	181	232	252	228	260	216	232
SS-F1_31	214	241	141	144	179	251	283	287	201	205	0	0	248	248	252	256
SS-F1_32	241	292	162	162	254	263	239	299	157	217	224	236	252	304	208	268
SS-F1_33	235	274	144	162	179	254	263	291	181	209	224	252	236	304	232	260
SS-F1_34	250	250	162	162	254	269	291	299	209	217	240	248	236	316	260	268
SS-F1_35	214	280	144	144	251	266	275	303	193	221	196	260	232	240	244	272
SS-F1_36	235	235	141	162	179	179	275	287	193	205	176	252	0	0	244	256
SS-F1_37	241	286	162	162	179	254	239	271	157	189	236	272	256	304	208	240
SS-F1_38	238	238	141	144	254	266	239	247	157	165	0	0	248	256	208	216
SS-F1_39	232	241	162	165	251	251	243	251	161	169	228	248	236	256	212	220
SS-F1_40	232	274	144	144	179	245	287	303	205	221	232	248	220	300	256	272
SS-F1_41	214	214	141	162	260	260	239	279	157	197	0	0	236	248	208	248
SS-F1_42	244	286	0	0	251	254	0	0	185	189	240	252	232	244	0	0
SS-F1_43	235	235	144	162	179	257	299	307	217	225	232	272	236	316	268	276
SS-F1_44	214	292	144	159	179	260	279	295	197	213	220	260	236	252	248	264
SS-F1_45	232	289	141	162	263	272	299	311	217	229	236	244	244	264	268	280
SS-F1_46	235	280	159	162	179	266	247	291	165	209	248	248	244	260	216	260
SS-F1_47	250	292	162	162	254	263	239	279	157	197	220	240	244	276	208	248
SS-F1_48	238	241	144	159	251	266	279	307	197	225	232	240	252	260	248	276
SS-F1_49	241	250	138	162	260	266	239	263	157	181	252	256	252	268	208	232
SS-F1_50	235	274	144	156	254	260	279	291	197	209	236	248	244	244	248	260
