"Locus"	"allele"	"count"	"frequency"
"Olur10"	"208"	1	0.00520833333333333
"Olur10"	"211"	1	0.00520833333333333
"Olur10"	"214"	21	0.109375
"Olur10"	"217"	3	0.015625
"Olur10"	"220"	1	0.00520833333333333
"Olur10"	"223"	1	0.00520833333333333
"Olur10"	"229"	3	0.015625
"Olur10"	"232"	9	0.046875
"Olur10"	"235"	17	0.0885416666666667
"Olur10"	"238"	16	0.0833333333333333
"Olur10"	"241"	30	0.15625
"Olur10"	"244"	9	0.046875
"Olur10"	"247"	5	0.0260416666666667
"Olur10"	"250"	13	0.0677083333333333
"Olur10"	"262"	1	0.00520833333333333
"Olur10"	"268"	1	0.00520833333333333
"Olur10"	"271"	2	0.0104166666666667
"Olur10"	"274"	12	0.0625
"Olur10"	"277"	2	0.0104166666666667
"Olur10"	"280"	7	0.0364583333333333
"Olur10"	"283"	3	0.015625
"Olur10"	"286"	7	0.0364583333333333
"Olur10"	"289"	4	0.0208333333333333
"Olur10"	"292"	13	0.0677083333333333
"Olur10"	"295"	3	0.015625
"Olur10"	"298"	3	0.015625
"Olur10"	"307"	2	0.0104166666666667
"Olur10"	"310"	1	0.00520833333333333
"Olur10"	"316"	1	0.00520833333333333
"Olur11"	"138"	4	0.0208333333333333
"Olur11"	"141"	41	0.213541666666667
"Olur11"	"144"	50	0.260416666666667
"Olur11"	"147"	5	0.0260416666666667
"Olur11"	"150"	1	0.00520833333333333
"Olur11"	"153"	5	0.0260416666666667
"Olur11"	"156"	9	0.046875
"Olur11"	"159"	5	0.0260416666666667
"Olur11"	"162"	60	0.3125
"Olur11"	"165"	7	0.0364583333333333
"Olur11"	"171"	4	0.0208333333333333
"Olur11"	"174"	1	0.00520833333333333
"Olur12"	"179"	43	0.221649484536082
"Olur12"	"239"	6	0.0309278350515464
"Olur12"	"245"	1	0.00515463917525773
"Olur12"	"251"	12	0.0618556701030928
"Olur12"	"254"	42	0.216494845360825
"Olur12"	"257"	5	0.0257731958762887
"Olur12"	"260"	33	0.170103092783505
"Olur12"	"263"	9	0.0463917525773196
"Olur12"	"266"	29	0.149484536082474
"Olur12"	"269"	11	0.0567010309278351
"Olur12"	"272"	1	0.00515463917525773
"Olur12"	"275"	1	0.00515463917525773
"Olur12"	"278"	1	0.00515463917525773
"Olur13"	"239"	16	0.0851063829787234
"Olur13"	"243"	18	0.0957446808510638
"Olur13"	"247"	12	0.0638297872340425
"Olur13"	"251"	2	0.0106382978723404
"Olur13"	"255"	2	0.0106382978723404
"Olur13"	"259"	4	0.0212765957446809
"Olur13"	"263"	10	0.0531914893617021
"Olur13"	"267"	4	0.0212765957446809
"Olur13"	"271"	8	0.0425531914893617
"Olur13"	"275"	9	0.0478723404255319
"Olur13"	"279"	24	0.127659574468085
"Olur13"	"283"	18	0.0957446808510638
"Olur13"	"287"	13	0.0691489361702128
"Olur13"	"291"	17	0.0904255319148936
"Olur13"	"295"	9	0.0478723404255319
"Olur13"	"299"	8	0.0425531914893617
"Olur13"	"303"	6	0.0319148936170213
"Olur13"	"307"	3	0.0159574468085106
